date,open,high,low,close,volume
2016-05-05,2480.65,2490.4,2465.0,2474.0,93840.0
2016-05-06,2470.0,2484.0,2432.0,2472.15,54464.0
2016-05-09,2472.15,2519.9,2458.65,2515.35,93348.0
2016-05-10,2514.0,2532.85,2497.1,2523.6,43958.0
2016-05-11,2515.0,2524.0,2488.05,2517.75,97016.0
2016-05-12,2519.0,2570.0,2519.0,2567.05,110112.0
2016-05-13,2565.0,2565.0,2512.0,2523.4,94694.0
2016-05-16,2524.0,2563.95,2524.0,2553.8,55638.0
2016-05-17,2556.0,2590.85,2553.0,2570.2,106632.0
2016-05-18,2570.2,2570.2,2527.7,2550.45,64916.0
2016-05-19,2550.0,2559.9,2527.75,2555.55,84588.0
2016-05-20,2564.95,2565.0,2526.0,2532.05,164252.0
2016-05-23,2532.0,2547.75,2481.0,2491.7,378854.0
2016-05-24,2483.9,2488.0,2461.0,2467.5,226002.0
2016-05-25,2488.55,2532.0,2488.55,2526.7,151286.0
2016-05-26,2526.0,2569.0,2506.3,2552.8,112572.0
2016-05-27,2561.0,2580.0,2550.0,2572.05,122420.0
2016-05-30,2585.0,2643.0,2585.0,2635.35,131610.0
2016-05-31,2621.0,2645.45,2570.0,2575.1,94854.0
2016-06-01,2577.9,2642.55,2571.85,2631.85,127640.0
2016-06-02,2629.5,2651.0,2609.0,2646.9,64806.0
2016-06-03,2651.0,2658.6,2620.6,2630.85,72042.0
2016-06-06,2629.55,2639.85,2605.0,2611.35,63824.0
2016-06-07,2627.0,2638.9,2615.0,2631.45,36318.0
2016-06-08,2630.0,2630.0,2606.95,2611.1,36440.0
2016-06-09,2620.0,2624.6,2558.0,2577.5,81036.0
2016-06-10,2577.0,2602.25,2556.0,2560.95,60666.0
2016-06-13,2550.0,2555.65,2521.0,2551.95,73008.0
2016-06-14,2550.0,2556.9,2518.25,2534.7,72004.0
2016-06-15,2530.0,2563.7,2523.6,2555.7,75630.0
2016-06-16,2560.5,2564.8,2517.75,2557.1,63996.0
2016-06-17,2559.0,2609.8,2559.0,2603.5,85018.0
2016-06-20,2599.5,2662.95,2594.8,2655.7,227400.0
2016-06-21,2660.0,2661.1,2640.0,2647.3,86732.0
